En Route with Sednit .		others others others threatActor_name others
Release_Time : 2016-10 .		others others others others
Report_URL : https://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part1.pdf .		others others others others others others
First , Seduploader simply sends an HTTP POST request to Google with a pseudo-randomly-generated URI path .		others others malware others others others protocol string others others tool others others others string others others
If the HTTP status code in the answer is either 200 ( OK ) or 404 ( Not Found ) —the most likely answer because there is little chance the pseudo-random URI path exists on Google websites—the network connection is assumed to be working .		others others protocol others others others others others others others others others others others others others others others others others others others others others others others others others others others others string others others others tool others others others others others others others others others
In this event , Seduploader initialization continues to the next step .		others others others others malware others others others others others others others
On the other hand , if Seduploader receives a different HTTP status code , it means the connection has been blocked ( and hence any later attempt to reach the C&C server will also likely be blocked ) .		others others others others others others malware others others others protocol others others others others others others others others others others others others others others others others others others others tool tool tool others others others others others others others others
In this case , Seduploader tries an alternative method to establish the network link , as described in the next two sections .		others others others others malware others others others others others others others others others others others others others others others others others others
Before testing the connection , Seduploader checks if the computer has a working network interface .		others others others others others malware others others others others others others others others others others
To do so , it searches for an interface with an IP address different from 127.0.0.1 and 169.254.155.178 .		others others others others others others others others others others others protocol others others others IP_evil others IP_evil others
This second IP address belongs to IPv4 Link-Local network 169.254.0.0/16 , from which an address is randomly chosen by a computer failing to receive an IP address via DHCP protocol[75] .		others reference_word protocol others others others protocol others others others others others others others others others others others others others others others others others others protocol others others protocol others others others others others
Therefore , it makes very little sense to check for a particularIP address in this network , as all addresses have the same probability of being chosen .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Some organizations force their computers to pass through an HTTP proxy to access the Internet , which may explain why the previous direct connection did not work .		others others others others others others others others others protocol others others others others others others others others others others others others others others others others others others
To use the proxy , Seduploader needs to retrieve its IP address and TCP port number , plus some credentials , if needed .		others others others others others malware others others others others protocol others others protocol others others others others others others others others others others
To retrieve this information , Seduploader searches for proxy configuration settings in the Firefox browser , via the two following steps :  It parses the Firefox preference file ( pref.js ) to find the network.proxy.http and network.proxy.http_port fields , respectively , containing the proxy address and port number .		others others others others others malware others others others others others others others tool others others others others others others others others reference_word others others tool others others others sample_name others others others others string others string others others others others others others others others others others others others
It retrieves the proxy credentials from the custom Windows registry key HKCU\Control Panel\Desktop\WeelScrInit .		reference_word others others others others others others others OS_name others others string string others
Interestingly , this registry key was created during the exploitation of the target by Sedkit .		others others others others others others others others others others others others others others malware others
For example , the following code snippet comes from a Sedkit exploit against Firefox  ( CVE-2014-1510 [37] ) , and sets the registry key WeelScrInit to the value of the HTTP field ProxyAuthorization , after a request has been made to download the payload .		others others others others others others others others others others malware others others tool others vulnerability_cve others others others others others others others others others others string others others others others others protocol others string others others others others others others others others others others others others
This HTTP field contains the credentials for proxy basic authentication , and can be reused for multiple requests [76] .		others protocol reference_word others others others others others others others others others others others others others others others others others others others
Once the proxy information has been retrieved , Seduploader sends an HTTP POST request to Google via the proxy and checks the answer status code , in the same way as previously described .		others others others others others others others others malware others others protocol string others others tool others others others others others others others others others others others others others others others others others others
We speculate that only Firefox is currently implemented because Sednit operators have had trouble establishing an Internet connection on specific targets using this browser , while the code injection technique described below was good enough for other browsers .		others others others others tool others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The proxy information retrieval code has been built so that it could possibly be extended to other browsers than Firefox , with the use of an abstract C++ class .		others others others others others others others others others others others others others others others others others others others tool others others others others others others others program_language others others
If the proxy method also fails , Seduploader injects some code into a running browser , which may allow it to bypass network security products .		others others others others others others others malware others others others others others others others others others others others others others others others others others others
To do so , Seduploader waits for the user to launch a browser , by regularly enumerating the running processes and comparing the hash of their names with some hardcoded values .		others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others
The hash function is a simple series of ROL 7 operations , and Table 6 shows the list of targeted browsers .		others others others others others others others others function function others others others others others others others others others others others others
0x250DFA8F iexplore.exe Internet Explorer .		string sample_name tool tool others
0x7712FEAE firefox.exe Firefox .		string sample_name tool others
0xBD3CC33A chrome.exe Google Chrome .		string sample_name tool others others
0x7A38EBF3 opera.exe Opera .		string sample_name tool others
0x4A36ABF3 browser.exe Yandex Browser .		string sample_name tool tool others
If a browser is found running , Seduploader injects a shellcode into its memory , and creates a thread in it with the CreateRemoteThreadWindows API .		others others others others others others others malware others others string others others others others others others others others others others others others function string others
