En Route with Sednit .		others others others threatActor_name others
Release_Time : 2016-10 .		others others others others
Report_URL : https://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part3.pdf Once installed , the bootkit takes control of the machine during the next system startup .		others others others others others others others others others malware others attack_goal attack_goal attack_goal attack_goal others others others others others others
The startup process is detailed in Figure 10 for Windows 7 , where only the steps involving the bootkit are shown .		others others others others others others others others others OS_name OS_name others others others others others others others malware others others others
Roughly summarized , a bootkit ’s objective is to “survive ” Windows ’ startup and eventually to execute a payload once the operating system is fully running .		others others others others malware others others others others others others others others OS_name others others others others others others others others others others others others others others others others
Such survival is made difficult by the strong modifications of the machine state at each step of the startup process ( for example by reorganizingmemory or switching the CPU mode ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Hence , starting from the initially infected MBR , the bootkit ensures at each step that it will regain control at the next step , mainly by setting hooks .		others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others
While the bootkit workflow described in Figure 10 bears some similarities with other known MBRinfected bootkits ( see “Bootkits : Past , Present & Future ”  20 for some examples ) , there are certain particularities that we would like to point out :  The bootkit MBR decrypts the bootkit code and the bootkit driver initially stored from the third sector ( see Figure 8 ) into a memory buffer .		others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others malware others others others malware others others others malware others others others others others others others others others others others others others others others others others
On the system we used for analysis , the buffer was located at physical memory address 0x97C00 .		others others others others others others others others others others others others others others others others others others
This memory area therefore contains the bulk of the bootkit code , and the hooks in bootmgr , winload.exe and ACPI.sys re-route the execution flow to this buffer .		others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others
It is more common for bootkits to copy their code at each step into a new memory area , in order to survive memory re-organization during startup .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This is the first use of the genuine Windows driver ACPI.sys in a bootkit , to the best of our knowledge .		others others others others others others others others others others others others others malware others others others others others others others others
More precisely , the entry-point of this driver is patched to redirect to a small snippet of code written in its resources section , as shown in Figure 11 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This code receives as an input parameter the memory address of the Windows kernel ntoskrnl.exe , where the bootkit stores some crucial data in unused PE header fields .		others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others
Using these data , it first restores the first five bytes of the original ACPI.sys entry-point , and then redirects to bootkit code stored at physical memory address 0x97C00 , mapped in the virtual memory space using the Windows API MmMapIoSpace 21 .		others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others
This bootkit code will decrypt and execute the bootkit driver .		others malware others others others others others others malware others others
The bootkit driver injects the bootkit user-mode component into the explorer.exe process by patching its entry-point before it is executed .		others malware others others others malware others others others others others others others others others others others others others others others
The user mode component then loads Downdelph and , interestingly , it tries to set an exported global Boolean variable named m_bLoadedByBootkit in Downdelph to TRUE , as shown in Figure 12 .		others others others others others others malware others others others others others others others others others others others others others others others others malware others others others others others others others others others
As this global variable is absent in all Downdelph binaries , we speculate that the bootkit was originally intended to be used with a different payload , and was repurposed by Sednit ’s operators .		others others others others others others others others malware others others others others others others malware others others others others others others others others others others others others others others others threatActor_name others others others others
Moreover , the user-mode component of the bootkit exports two functions named Entry and ep_data .		others others others others others others others malware others others others others others others others others
Those two export names are also present in early samples of the infamous BlackEnergy malware 11 .		others others others others others others others others others others others others others malware others others others
Also , we found several cases of code sharing between the bootkit components and the same BlackEnergy samples .		others others others others others others others others others others others malware others others others others malware others others
These hints lead us to speculate that the developers may be related .		others others others others others others others others others others others others others
