En Route with Sednit .		others others others threatActor_name others
Release_Time : 2016-10 .		others others others others
Report_URL : https://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part1.pdf .		others others others others others others
The Sednit group - also known as APT28 , Fancy Bear and Sofacy - is a group of attackers operating since 2004 if not earlier and whose main objective is to steal confidential information from specific targets .		others threatActor_name others others others others others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others others others others others person others others time others others others others others others others others others sub_activity sub_activity sub_activity others others others others
This is the first part of our whitepaper " En Route with Sednit " , which covers the Sednit 's group activities since 2014 .		others others others others others others others others others others others others threatActor_name others others others others others threatActor_name others others others others time others
Here , we focus on the methods used by the group to attack its targets , and on who these targets are .		others others others others others others others others others others others others others others others others others others others others others others others
The key points described in this first installment are the following :  During the Sednit phishing campaigns more than 1,000 high-profile individuals involved in Eastern European politics were attacked , including some Ukrainian leaders , NATO officials , and Russian political dissidents .		others others others others others others others others others others others others others others threatActor_name attack_activity others others others others others person others others location location others others others others others others location person others government person others others location others person others
The Sednit operators launched their phishing attacks on weekdays , and at times corresponding to office hours in the time zone UTC+3 .		others threatActor_name others others others attack_activity others others others others others others others others others others others others others others others others others
The Sednit group developed its own exploit kit - a first for an espionage group - deploying a surprisingly high number of 0-day exploits .		others threatActor_name others others others others others others others others others others others others others others others others others others others others vul_aliases others others
The Sednit group developed particular first-stage malware in order to bypass network security measures implemented by compromised organizations .		others threatActor_name others sub_activity sub_activity sub_activity sub_activity others others others sub_activity sub_activity sub_activity sub_activity others others others others others
The Sednit group - variously also known as APT28 , Fancy Bear , Sofacy , Pawn Storm , STRONTIUM and Tsar Team - is a group of attackers operating since 2004 if not earlier , whose main objective is to steal confidential information from specific targets .		others threatActor_name others others others others others others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others others others others others others others others time others others others others others others others others others sub_activity sub_activity sub_activity others others others others
Over the past two years , this group 's activity has increased significantly , with numerous attacks against government departments and embassies all over the world .		others others others others others others reference_word reference_word others others others others others others others others others others target_crowd target_crowd others target_crowd others others others others others
Among their most notable presumed targets are the American Democratic National Committee , the German parliament and the French television network TV5Monde .		others reference_word others others others others others others government government government government others others government government others others others others others company others
Moreover , the Sednit group has a special interest in Eastern Europe , where it regularly targets individuals and organizations involved in geopolitics .		others others others threatActor_name others others others others others others location location others others others others others others others others others others others others
One of the striking characteristics of the Sednit group is its ability to come up with brand-new 0-day vulnerabilities regularly .		others others others others others others others threatActor_name others others others others others others others others others vul_aliases others others others
In 2015 , the group exploited no fewer than six 0-day vulnerabilities .		others time others reference_word reference_word others others others others others vul_aliases others others
This high number of 0-day exploits suggests significant resources available to the Sednit group , either because the group members have the skills and time to find and weaponize these vulnerabilities , or because they have the budget to purchase the exploits .		others others others others vul_aliases others others others others others others others threatActor_name others others others others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others
Also , over the years the Sednit group has developed a large software ecosystem to perform its espionage activities .		others others others others others others threatActor_name others others others others others sub_activity sub_activity others others others others others others
The diversity of this ecosystem is quite remarkable ; it includes dozens of custom programs , with many of them being technically advanced , like the Xagent and Sedreco modular backdoors , or the Downdelph bootkit and rootkit .		others others others reference_word reference_word others others others others others others others others others others others others others others others others others others others others others malware others malware others others others others others malware malware others malware others
We present the results of ESET 's two-year pursuit of the Sednit group , during which we uncovered and analyzed many of their operations .		others others others others others security_team others others others others others threatActor_name others others others others others others others others others others others others others
We split our publication into three independent parts :  " Part 1:Approaching the Target " describes the kinds of targets the Sednit group is after , and the methods used to attack them .		others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others
It also contains a detailed analysis of the group 's most-used reconnaissance malware. "		others others others others others others others reference_word reference_word others others others others others
Part 2:Observing the Comings and Goings " describes the espionage toolkit deployed on some target computers , plus a custom network tool used to pivot within the compromised organizations. "		others others others others others others others others others others others others malware others others others others others others others others sub_activity sub_activity sub_activity others others sample_function sample_function sample_function sample_function others others
Part 3:A Mysterious Downloader " describes a surprising operation run by the Sednit group , during which a lightweight Delphi downloader was deployed with advanced persistence methods , including both a bootkit and a rootkit .		others others others others others tool others others others others others others others others threatActor_name others others others others others others tool tool others others others others others others others others others others malware others others malware others
