IXESHE An APT Campaign .		threatActor_name others others others others
Release_Time :  2012 Report_URL :  https://www.trendmicro.de/cloud-content/us/pdfs/security-intelligence/white-papers/wp_ixeshe.pdf The number of targeted attacks is undoubtedly on the rise .		others others others others others others others others others others others others others others others others others others others
These highly targeted attacks focus on individual organizations in an effort to extract valuable information .		others others others others others others others others others others others others others others others others
In many ways , this is a return to the ”  old hacking days ”   before more widespread attacks targeting millions of users and the rise of computer worms came about .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Sometimes , these targeted attacks are allegedly linked to state-sponsored activities but may also be carried out by individual groups with their own goals .		others others others others others others others others others others others others others others others others others others others others others others others others others
Trend Micro continues to track and analyze highly targeted attacks , also known as   ”   advanced persistent threats ( APTs ) .		company company others others others others others others others others others others others others others others others others others others others others
”   We have , in fact , published two research papers on the Luckycat1 and Lurid2 campaigns .		others reference_word others others others others others others others others others others others others others others others others
This research paper will delve into another prominent group of attackers referred to as ”  IXESHE ”  ( pronounced ” i-sushi ”  )  , based on one of the more common detection names security companies use for the malware they utilize .		others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others
This campaign is notable for targeting East Asian governments , electronics manufacturers , and a telecommunications company .		others others others others others others government government government others industry industry others others others company company others
The IXESHE campaign makes use of targeted emails with malicious attachments to compromise victims ’ systems .		others threatActor_name others others others others others tool others tool tool others sample_function sample_function sample_function sample_function others
The emails are often tailored for specific victims and contain malicious attachments that are almost always  ”  weaponized ”   .		others tool others others others others others others others others tool tool tool tool tool tool tool tool tool others
PDF files with known exploits that drop malware executables onto targeted systems .		tool tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function others
In addition , the IXESHE attackers conducted two specific attacks that leveraged zero-day exploits—one in 2009 and another in 2011 .		others others others others threatActor_name others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others time others others others time others
The IXESHE attackers almost always make use of compromised servers as command-and-control ( C&C ) servers .		others threatActor_name others others others others others others others others others tool others tool tool tool others others others
In some cases , the compromised servers are hosted on target organizations ’  networks after successful infiltration so the attackers can increase their control of the victims ’ infrastructure .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Using this approach , the attackers amassed at least 60 C&C servers over time .		others others others others others others others others others others tool tool tool others others others others
This technique also allows the attackers to cover their tracks , as having the C&C server in the victims ’ corporate networks means very little C&C traffic leaves them .		others others others others others others others others others others others others others others tool tool tool others others others others others others others others others others tool tool tool others others others others
The attackers ’  deliberate use of compromised machines and dynamic Domain Name System ( DNS ) services allows them to hide traces of their presence by confusing their activities with data belonging to legitimate individuals .		others person others others others others others others others tool tool tool tool others tool others others others others others sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others
Looking at threat intelligence derived from tracking APT campaigns over time primarily based on the network traffic generated by the malware used , we were able to develop indicators of compromise for the IXESHE campaign .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others
The malware samples used in this campaign were not very complicated by nature but do give the attackers almost complete control over their targets ’  compromised systems .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Most of the IP addresses of IXESHE ’s victims are linked to DSL networks , which made it difficult to determine their identities .		others others others protocol others others threatActor_name others others others others others others protocol others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Careful research , however , allowed the identification of some of the attackers ’  victims :  East Asian governments .		others others others others others others others others others others others reference_word reference_word others others others government government government others
Taiwanese electronics manufacturers .		industry industry industry others
A telecommunications company Campaign victims were identified by using Whois records and open source research .		others others others others others others others others others protocol tool others others others others others
Trend Micro generally notifies customers that are believed to have been specifically targeted by APT campaigns .		company company others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others
The IXESHE attackers have been actively launching highly targeted attacks since at least July 2009 .		others threatActor_name others others others others others others others others others others others time time others
Available data on the IXESHE campaign indicates that targeted emails with malicious .		others others others others threatActor_name others others others others tool others others others
PDF file attachments were the attackers ’ vector of choice .		tool tool tool others others person others others others others others
In most cases , the attacks involved Adobe Acrobat , Reader , and Flash Player exploits such as :   CVE-2009-43243 .		others others others others others others others tool tool others tool others others tool tool others others others others vulnerability_cve others
CVE-2009-09274 .		vulnerability_cve others
CVE-2011-06095 .		vulnerability_cve others
CVE-2011-06116 It should also be noted that this campaign used CVE-2009- 43247 and CVE-2011-06098 exploits when these were still unpatched or considered zero-day vulnerabilities  .		vulnerability_cve others others others others others others reference_word reference_word others vulnerability_cve vulnerability_cve others vulnerability_cve others others others others others others others others others others others
The IXESHE attackers also used an exploit that affected Microsoft Excel—CVE-2009-3129  .		others threatActor_name others others others others others others sample_function sample_function others others
The IXESHE malware binary allowed the attackers to easily take over and maintain complete control of victims ’ systems to do the following :   List all services , processes , and drives .		tool threatActor_name tool tool others others person others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Terminate processes and services .		attack_goal attack_goal attack_goal attack_goal others
Download and upload files .		attack_goal attack_goal attack_goal attack_goal others
Start processes and services .		attack_goal attack_goal attack_goal attack_goal others
Get victims ’ user names .		attack_goal attack_goal attack_goal attack_goal attack_goal others
Get a machine ’s name and domain name .		attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Download and execute arbitrary files .		attack_goal attack_goal attack_goal attack_goal attack_goal others
