APT28 : AT THE CENTER OF THE STORM .		threatActor_name others others others others others others others others
The Democratic National Committee's ( DNC ) June 2016 announcement attributing its network breach to the Russian Government triggered an international debate over Russia's sponsorship of information operations against the U.S. At issue is the question of proof : did the Russian Government direct the group responsible for the breaches and related data leaks?		others government government government others others government others time time others others others others others others others government government others others others others others location others attack_activity others others others others others location others others others others others others others others others others government government others others others others others others others others others others others others
If so , is this simply a matter of accepted state espionage , or did it cross a line?		others others others others others others others others others others attack_activity attack_activity others others others others others others others others
Was the DNC breach part of a concerted effort by the Russian Government to interfere with the U.S. presidential election?		others others government others others others others others others others others government government others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Unfortunately , we have failed to ask the most consequential question : how will Russia continue to employ a variety of methods , including hacks and leaks , to undermine the institutions , policies , and actors that the Russian Government perceives as constricting and condemning its forceful pursuit of its state aims?		others others others others others others others others others others others others others others location others others others others reference_word reference_word reference_word others others sub_activity others sub_activity others others sub_activity sub_activity sub_activity others sub_activity others others sub_activity others others government government others others others others others others others others others others others others others
Our visibility into the operations of APT28 - a group we believe the Russian Government sponsors - has given us insight into some of the government's targets , as well as its objectives and the activities designed to further them .		others others others others others others threatActor_name others others others others others others government government others others others others others others others others others reference_word reference_word others others others others others others reference_word others others others others others others others others others
We have tracked and profiled this group through multiple investigations , endpoint and network detections , and continuous monitoring .		person others others others others reference_word reference_word others counter_measure counter_measure others counter_measure others counter_measure counter_measure others others counter_measure counter_measure others
Our visibility into APT28's operations , which date to at least 2007 , has allowed us to understand the group's malware , operational changes , and motivations .		others others others threatActor_name others others others others others others others others time others others others others others others others others others others others others others others others others others
This intelligence has been critical to protecting and informing our clients , exposing this threat , and strengthening our confidence in attributing APT28 to the Russian Government .		others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others government government others
On December 29 , 2016 , the Department of Homeland Security ( DHS ) and Federal Bureau of Investigation ( FBI ) released a Joint Analysis Report confirming FireEye's long held public assessment that the Russian Government sponsors APT28 .		others time time time time others others government government government government others government others others government government government government others government others others others others others others others security_team others others others others others others others government government others threatActor_name others
Since at least 2007 , APT28 has engaged in extensive operations in support of Russian strategic interests .		others others others time others threatActor_name others others others others others others others others attack_goal attack_goal attack_goal others
The group , almost certainly compromised of a sophisticated and prolific set of developers and operators , has historically collected intelligence on defense and geopolitical issues .		reference_word reference_word others others others others others others others others others others others others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
APT28 espionage activity has primarily targeted entities in the U.S. , Europe , and the countries of the former Soviet Union , including governments and militaries , defense attaches , media entities , and dissidents and figures opposed to the current Russian Government .		threatActor_name attack_activity attack_activity others others others target_crowd others others location others location others others others location location location location location location others others industry others industry others industry industry others industry industry others others target_crowd others target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd others
Over the past two years , Russia appears to have increasingly leveraged APT28 to conduct information operations commensurate with broader strategic military doctrine .		others others others others others others location others others others others others threatActor_name others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others
After compromising a victim organization , APT28 will steal internal data that is then leaked to further political narratives aligned with Russian interests .		others others others others others others threatActor_name others sub_activity sub_activity sub_activity others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
To date these have included the conflict in Syria , NATO-Ukraine relations , the European Union refugee and migrant crisis , the 2016 Olympics and Paralympics Russian athlete doping scandal , public accusations regarding Russian state-sponsored hacking , and the 2016 U.S. presidential election .		others others others others others others others others location others others others others others location location others others others others others others time others others others location others others others others others others others attack_activity attack_activity attack_activity others others others time location others others others
This report details our observations of APT28's targeting , and our investigation into a related breach .		others others others others others others threatActor_name others others others others others others others others others others others
We also provide an update on shifts in the group's tool development and use , and summarize the tactics APT28 employs to compromise its victims .		others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others
In October 2014 , FireEye released APT28: A Window into Russia's Cyber Espionage Operations?		others time time others security_team others threatActor_name others others others others attack_activity attack_activity attack_activity attack_activity attack_activity others
, and characterized APT28's activity as aligning with the Russian Government's strategic intelligence requirements .		others others others threatActor_name others others others others others others government government others attack_goal attack_goal attack_goal others
While tracking APT28 , we noted the group's interest in foreign governments and militaries , particularly those of European and Eastern European nations , as well as regional security organizations , such as the North Atlantic Treaty Organization ( NATO ) and the Organization for Security and Cooperation in Europe ( OSCE ) , among others .		others others threatActor_name others others others others others others others others government government others industry others others others others location others location location location others others others others company company company others others others others government government government government others government others others others government government government government government government government others government others others others others others
Table 1 highlights some recent examples of this activity .		others others others others others others others others others others
