FIN10:Anatomy of a Cyber Extortion Operation .		threatActor_name others others others others attack_activity attack_activity attack_activity others
Just because someone claimed they hacked you doesn’t necessarily make it true .		others others reference_word others reference_word others others others others others others others others others others
Empty extortion attempts are not uncommon .		others others others others others others others
Examine your environment for evidence of compromise before considering to pay the ransom .		others others others others others others others others others others others others others others
Usually FIN10 provides data as proof ( see the ‘ Data Exposure ’ section ) , so confirm that the data is real and determine if it came from your environment .		others threatActor_name sub_activity sub_activity sub_activity sub_activity others others others others string string others others others others others others others others others others others others others others others others others others others others
Humans can be unpredictable and they may react out of emotion .		others others others others others others others others others others others others
Carefully consider how an attacker will react to your action or inaction .		others others others others person others others others others others others others others
They can become more aggressive if they get upset .		reference_word others others others others others reference_word others others others
They may back down and allow for more time if they believe you are trying to meet their demands .		reference_word others others others others others others others others others reference_word others others others others others others others others others
You need to validate and scope the breach as quickly as possible .		others others others counter_measure counter_measure counter_measure others others others others others others others
This may require the team working nights and weekends , so be careful of fatigue and burnout .		reference_word others others others others others others others others others others others others others others others others others
You may need to approve emergency change requests within short order .		others others others others counter_measure counter_measure counter_measure counter_measure others others others others
It ’s easy to get distracted .		others others others others others others others others
Evaluate whether the tasks you are taking on will help mitigate , detect , respond to or contain the attack .		counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others others others others others others others others others others others others others others
Remember that you ’re racing against the clock .		others others others others others others others others others others
Focus on the must-haves instead of the nice-to-haves and understand that you may need to deploy a number of temporary solutions to address the attack .		others others others others others others others others others others others others others others others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others sample_function sample_function sample_function others
Attackers do not always expect a response .		person others others others others others others others
If you decide to respond , limit the interactions and carefully consider everything you say .		others others others others others others others others others others others others others others others others
Consider involving law enforcement and legal counsel in all communications .		others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others
You will need forensic , legal and public relations support to get through a disruptive breach .		others others others others others others others others others others others others others others others others others
Identify partners before the breach and get them on retainer .		counter_measure counter_measure counter_measure counter_measure counter_measure others counter_measure counter_measure counter_measure counter_measure others
Understand that paying the ransom may be the right option , but there are no guarantees the attacker (s) won’t come back for more money or simply leak the data anyway .		others others others others others others others others others others others others others others others others others person person person person others others others sub_activity sub_activity sub_activity sub_activity sub_activity others others sub_activity sub_activity sub_activity others others
Include experts in the decision-making process and understand the risks associated with all options .		others others others others others others others others others others others others others others others
Most organizations have mature backup policies so they can recover quickly in the event of a system failure .		others others others others others others others others others others others others others others others others others others others
However , it ’s common for the systems containing backups to be part of the same environment compromised by the attacker .		others others others others others others others others tool tool tool others others others others others others others others others others person others
Tighten access to your backup environment to mitigate the risk of an attacker accessing the system using compromised credentials and destroying your backups .		counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others sample_function sample_function sample_function sample_function sample_function person sample_function sample_function sample_function others tool tool others attack_goal attack_goal attack_goal others
Regardless of the outcome , you should ensure that attackers such as FIN10 cannot come back in and do more damage .		others others others others others others others others others person others others threatActor_name others others others others others others others others others others
You also don’t want a second attacker targeting you because they think you are willing to pay a ransom .		others others others others others others others others person others others others reference_word others others others others others others others others others
Ensure you understand the full extent of the breach and implement both tactical and strategic actions to prevent future attackersfrom gaining access .		others others others others others others others others others others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others sample_function sample_function sample_function sample_function sample_function others
Don’t forget to  operationalize and enhance the temporarysolutions that were deployed to immediately address the attack.Conduct penetration testing and Red Team assessments to validate your security controls , identify vulnerabilities and fix them immediately .		others others others others others counter_measure counter_measure counter_measure counter_measure counter_measure others others others others others sample_function sample_function others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others sample_function sample_function sample_function sample_function others counter_measure counter_measure others counter_measure counter_measure others others
Although FireEye has observed FIN10 primarily targeting casinos and mining organizations in North America ( with a focus on Canada ) , all organizations from around the world must be prepared to detect and respond to threats from this group and other bad actors .		others company others others threatActor_name others others industry others industry industry others location location others others others others others location others others others others others others others others others others others others others others others others others others reference_word reference_word others others person person others
We believe the primary goal of FIN10 is to steal corporate business data , files , records , correspondence and customer PII for the purposes of extorting victim organizations for the non-release of the stolen data .		others others others others others others threatActor_name others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others attack_goal attack_goal others others others others others others others others others others others others others others others
Enterprises that are contacted by a group claiming to have their data will want to carefully assess if an incident has actually occurred .		others others others others others others others others others others others others others others others others others others others others others others others others
In the case of FIN10 , we have observed them posting proof of the stolen data on publicly accessible websites .		others others others others threatActor_name others others others others reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others
When dealing with these types of extortion-based attacks , we strongly recommend that organizations work quickly , stay focused , considerall options and potentially involve forensic , legal , law enforcement and public relations experts  before taking any actions or communicating with the threat actor .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others person person others
Strong segmentation and controls over backups will help organizations to quickly recover from a breach .		counter_measure counter_measure others counter_measure counter_measure counter_measure others others others others others sample_function sample_function sample_function sample_function others
Additionally , when the incident has been resolved organizations should focus on broader security improvements and ensuring the threat actor cannot come back in a different way .		others others others others others others others others others others others others others others others others others others person person others others others others others others others others others
